bin,n,mean_mm,std_mm,median_q,sqrt_n_bound
320.0,139,12498.370503597122,1068.9329292352106,6.0,90.66570771476894
321.0,131,12415.740458015267,46.238308341138065,7.0,4.039859757079624
322.0,146,7838.102739726028,5937.470942627353,3.0,491.388591552385
323.0,138,2756.6684782608695,5140.139428648962,0.0,437.55772576479717
324.0,143,0.0,0.0,0.0,0.0
325.0,140,176.13571428571427,1468.3466401193716,0.0,124.09794103132089
326.0,141,0.0,0.0,0.0,0.0
327.0,142,0.0,0.0,0.0,0.0
328.0,137,0.0,0.0,0.0,0.0
329.0,139,0.0,0.0,0.0,0.0
330.0,144,0.0,0.0,0.0,0.0
331.0,139,0.0,0.0,0.0,0.0
332.0,136,0.0,0.0,0.0,0.0
333.0,140,0.0,0.0,0.0,0.0
334.0,137,0.0,0.0,0.0,0.0
335.0,145,8398.831034482759,7596.848737493039,1.0,630.8839487813881
336.0,137,15241.043795620439,13.174064378620406,1.0,1.1255362785127945
337.0,135,15039.590740740741,1851.188135916809,1.0,159.3249071356123
338.0,138,14845.757246376812,2574.3381244786374,1.0,219.14221408436686
339.0,139,13107.625899280576,5393.051345952977,1.0,457.4326448832982
340.0,149,11626.31711409396,6584.412644367747,1.0,539.4161016135243
341.0,136,9023.92830882353,7577.874994259182,1.0,649.7974199511235
342.0,143,4830.711538461538,7153.88269370845,0.0,598.2377243141694
343.0,137,1681.4361313868612,4812.88535078938,0.0,411.1925455159726
344.0,146,105.15068493150685,1270.5405601823554,0.0,105.15068493150686
345.0,137,0.0,0.0,0.0,0.0
346.0,139,110.40287769784173,1301.6307314868839,0.0,110.40287769784177
347.0,141,0.0,0.0,0.0,0.0
348.0,138,0.0,0.0,0.0,0.0
349.0,143,0.0,0.0,0.0,0.0
350.0,135,0.0,0.0,0.0,0.0
351.0,140,0.0,0.0,0.0,0.0
352.0,141,0.0,0.0,0.0,0.0
353.0,143,0.0,0.0,0.0,0.0
354.0,142,0.0,0.0,0.0,0.0
355.0,139,0.0,0.0,0.0,0.0
356.0,138,111.32246376811594,1307.7428453781274,0.0,111.32246376811594
357.0,145,1376.6844827586208,4402.025221459457,0.0,365.5682968443665
358.0,136,4177.516544117647,6858.632490586439,0.0,588.122884074008
359.0,137,7283.930656934306,7694.2497438123355,0.0,657.3641189011295
